No,NBL,BL,NB,NA,NC,SL,NB,NAD,NAC,NCD,NCC
1,1,commons-codec-1.4.jar,1/15,2/3,2/3,commons-codec-1.10.jar,11,0/3,3/3,0/3,3/3
,,,,,,commons-codec-1.11.jar,1,0/3,3/3,0/3,3/3
,,,,,,commons-codec-1.5.jar,2,0/3,2/3,0/3,2/3
,,,,,,commons-codec-1.6.jar,7,0/3,2/3,0/3,2/3
,,,,,,commons-codec-1.7.jar,0,0/3,3/3,0/3,3/3
,,,,,,commons-codec-1.8.jar,1,0/3,3/3,0/3,3/3
,,,,,,commons-codec-1.9.jar,4,0/3,3/3,0/3,3/3
2,1,log4j-core-2.7.jar,2/36,1/13,1/18,log4j-core-2.10.0.jar,17,0/13,3/13,0/18,3/18
,,,,,,log4j-core-2.8.1.jar,8,0/13,2/13,0/18,2/18
,,,,,,log4j-core-2.8.2.jar,32,0/13,2/13,0/18,2/18
,,,,,,log4j-core-2.8.jar,20,0/13,2/13,0/18,2/18
,,,,,,log4j-core-2.9.0.jar,11,0/13,3/13,0/18,3/18
,,,,,,log4j-core-2.9.1.jar,18,0/13,3/13,0/18,3/18
,,,,,,log4j-core-3.0.0-20180805.164441-147.jar,4,0/13,3/13,0/18,3/18
3,1,commons-lang-2.4.jar,1/18,1/21,7/181,commons-lang-2.5.jar,7,0/21,3/21,0/181,10/181
,,,,,,commons-lang-2.6.jar,4,0/21,5/21,0/181,47/181
,,,,,,commons-lang-20030203.000129.jar,0,0/21,15/21,0/181,144/181
,,,,,,commons-lang3-3.0.1.jar,4,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.0.jar,9,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.1.jar,25,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.2.1.jar,9,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.2.jar,6,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.3.1.jar,1,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.3.2.jar,17,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.3.jar,4,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.4.jar,30,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.5.jar,14,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.6.jar,8,17/21,0/21,177/181,0/181
,,,,,,commons-lang3-3.7.jar,3,17/21,0/21,177/181,0/181
4,1,commons-lang-2.4.jar,1/18,1/17,1/79,commons-lang-2.5.jar,7,0/17,2/17,0/79,2/79
,,,,,,commons-lang-2.6.jar,4,0/17,6/17,0/79,8/79
,,,,,,commons-lang-20030203.000129.jar,0,0/17,15/17,0/79,56/79
,,,,,,commons-lang3-3.0.1.jar,4,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.0.jar,9,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.1.jar,25,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.2.1.jar,9,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.2.jar,6,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.3.1.jar,1,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.3.2.jar,17,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.3.jar,4,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.4.jar,30,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.5.jar,14,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.6.jar,8,17/17,0/17,79/79,0/79
,,,,,,commons-lang3-3.7.jar,3,17/17,0/17,79/79,0/79
5,1,commons-codec-1.4.jar,1/15,1/3,1/9,commons-codec-1.10.jar,11,0/3,3/3,0/9,9/9
,,,,,,commons-codec-1.11.jar,1,0/3,3/3,0/9,9/9
